grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
35-39_221,108,55-59,28,25-29,110,0.04447123716400935
60-64,33,30-34_Others,36,114,55,0.018563603291111376
30-34_110,29,30-34_115,57,50-54_221,22,0.03107510433675077
30-34_221,79,55-59,28,<25_115,28,0.030012043807616066
30-34_110,29,25-29,120,35-39_221,92,1.5560097805034982e-05
60-64,33,<25,47,106,40,0.03513068355862475
60-64_115,26,30-34_Others,36,35-39_110,28,0.04470403745590124
50-54,80,40-44_115,91,40-44_115,93,0.044631606744908105
60-64,33,25-29_221,33,25-29,110,0.0021176045025688367
60-64,33,35-39_114,21,25-29_221,44,0.02746186035067898
30-34_110,29,35-39_221,88,40-44_221,68,0.0013480517756456862
60-64,33,Unknown,45,114,55,0.016663914980190413
30-34_115,99,40-44_221,70,35-39_Others,36,0.03507598924168519
60-64,33,114,71,<25,59,0.0009762852187902337
30-34_110,29,114,71,35-39_Others,36,0.004936547913995261
60-64_115,26,35-39_221,88,50-54,75,0.033313781989703924
30-34_110,29,50-54_115,42,114,55,0.013028950787810889
60-64,33,114,71,106,40,0.007687537640669851
30-34_110,29,40-44_221,70,30-34_115,80,0.0016055329847546934
110,112,110,102,30-34_221,80,0.027215709345362694
30-34_110,29,35-39_110,29,25-29_115,29,0.010620485433012484
60-64_115,26,45-49_115,81,35-39_Others,36,0.023439865949772102
40-44_115,118,Others,121,50-54,75,0.020621897450804314
30-34_110,29,45-49_115,81,Others,113,0.0003025656282932408
60-64,33,40-44_Others,21,<25,59,0.00653523983830578
60-64,33,45-49_221,53,25-29,110,0.001804695533124298
60-64_115,26,25-29,120,30-34_221,80,0.0005914452797640069
60-64_115,26,25-29_115,50,55-59,37,0.04671983996885315
40-44_110,24,30-34_Others,36,25-29,110,0.04758077635167587
30-34_110,29,45-49_221,53,45-49_221,37,0.027809025302727844
30-34_115,99,25-29_221,33,50-54,75,0.006223878145950218
60-64,33,35-39_110,29,35-39_110,28,0.025521176333711693
30-34_115,99,114,71,40-44_221,68,0.012893574407447067
45-49,183,50-54,74,50-54,75,0.00738444453507696
60-64_115,26,35-39_110,29,<25,59,0.008636198918341663
30-34_110,29,25-29_221,33,106,40,0.01503438130960175
30-34_110,29,35-39_Others,28,>65,49,0.04035990704739184
45-49,183,40-44_115,91,50-54,75,0.0037161069460972976
60-64_115,26,45-49_115,81,Unknown,35,0.04340107887170885
